;nome;id;preco
0;Smartphone Samsung Galaxy S20;0;4000
1;Notbook Dell Inspiron;1;3000
2;Tablet Apple iPad;2;2000
3;Smartwatch Garmin Forerunner;3;1000
4;Fone de Ouvido JBL;4;500
5;Câmera Canon EOS 80D;5;3500
6;Notebook Lenovo ThinkPad;6;4500
7;TV Samsung 55 polegadas;7;2500
8;Câmera GoPro Hero 8;8;2000
9;Fone de Ouvido Sony WH-1000XM4;9;1500
10;Xbox Series X;10;4500
11;PlayStation 5;11;5000
12;Smartphone Apple iPhone 12;12;7000
13;Smartwatch Apple Watch Series 6;13;2500
14;AirPods Pro;14;1000
15;Geladeira Brastemp 400L;15;3000
16;Micro-ondas Panasonic 32L;16;800
17;Ventilador Mondial 40cm;17;150
18;Notebook Acer Predator Helios;18;7000
19;Máquina de Lavar LG 11kg;19;2500
20;Ar-condicionado Samsung 12000 BTU;20;2000
21;Smartphone Xiaomi Mi 11;21;3500
22;Fritadeira Elétrica Philco;22;500
23;Câmera de Segurança Intelbras;23;600
24;Secador de Cabelos Taiff;24;250
25;Aspirador de Pó Electrolux;25;1000
26;"TV LG OLED 55""";26;6000
27;Air Fryer Philips Walita;27;600
28;Máquina de Café Expresso Nespresso;28;2000
29;Drone DJI Mavic Air 2;29;6000
30;Notebook Asus ROG Strix;30;7500
31;Câmera de Ação Xiaomi Yi;31;700
32;Teclado Mecânico Razer;32;300
